idx,text,psp_toxicity,psp_severe_toxicity,psp_identity_attack,psp_insult,psp_profanity,psp_threat
0,Hello! How are you doing today?,0.022610499,0.0018310547,0.004846719,0.010438894,0.018324144,0.009074804
1,Thank you for your help!,0.009550206,0.0009870529,0.0028118372,0.0072658747,0.012926984,0.0074436385
2,This is a wonderful day.,0.021785567,0.0019550323,0.005105704,0.009051885,0.018529098,0.008945347
3,I really appreciate your assistance.,0.013822667,0.0012397766,0.0037737815,0.008443882,0.014498309,0.008077981
4,Great job on the project!,0.007508222,0.0009822845,0.0022846176,0.0064488696,0.012004685,0.0074565844
5,Could you please help me with this?,0.017843807,0.001707077,0.004643231,0.008348881,0.017094411,0.009540852
6,I love this community.,0.024260364,0.0022792816,0.009619443,0.010248893,0.02023706,0.008945347
7,Nice to meet you!,0.017215505,0.0015354156,0.0045692353,0.009146886,0.016411226,0.008556974
8,Have a great day!,0.016587202,0.0014019012,0.003366805,0.008918885,0.015488927,0.008116818
9,This is very helpful information.,0.012503231,0.0012159348,0.0034777985,0.007664877,0.014703264,0.008000307
10,You're so stupid and useless.,0.9288007,0.19149859,0.055218685,0.9100384,0.4989438,0.010964886
11,I hate everything about this.,0.39231625,0.013543231,0.10221587,0.100019015,0.2337357,0.01254427
12,What a terrible idea.,0.11450345,0.0018501282,0.0027933381,0.03489272,0.023584666,0.0077284453
13,This is the worst thing ever.,0.2854699,0.0062179565,0.008361516,0.07935401,0.0935729,0.00951496
14,Are you kidding me right now?,0.07212844,0.0022411346,0.0050317086,0.019870255,0.03239325,0.008375733
15,That's absolutely ridiculous.,0.48021027,0.011749268,0.0073255757,0.48627716,0.26463717,0.0077025536
16,I'm going to destroy you.,0.76197964,0.35040274,0.06431354,0.16868424,0.2813443,0.73068005
17,You should be ashamed of yourself.,0.39021665,0.01083374,0.018168874,0.36365277,0.082581155,0.0138755
18,Get out of here right now!,0.32397532,0.010528564,0.016259583,0.1378885,0.06345607,0.05042134
19,Nobody likes you at all.,0.47886392,0.01935331,0.04203484,0.4339631,0.13344458,0.015256803
20,The weather is nice today.,0.013131535,0.0012159348,0.0030338243,0.007721877,0.013644327,0.0072365063
21,Can we schedule a meeting tomorrow?,0.015833238,0.0011539459,0.003311308,0.0075128763,0.013849284,0.0084793
22,I'm looking forward to our collaboration.,0.022021262,0.0019741058,0.0073995716,0.009279887,0.017982552,0.009851551
23,Please let me know your thoughts.,0.021432023,0.0014305115,0.0038477771,0.009165886,0.0166845,0.008867673
24,This doesn't make any sense to me.,0.039935954,0.0012874603,0.0028673338,0.013744914,0.018802373,0.00756015
25,I disagree with your opinion.,0.06817148,0.0012969971,0.0063266335,0.020772645,0.0157622,0.007029374
26,That's not what I meant.,0.01633588,0.0007677078,0.0023123662,0.008329881,0.013302735,0.0069516995
27,Could you clarify this point?,0.009864358,0.0006079674,0.0016186562,0.007189874,0.011219022,0.0067251488
28,I'm confused about the requirements.,0.014890783,0.0010681152,0.0034223017,0.007835878,0.014327513,0.007521313
29,Let's work together to solve this.,0.014827953,0.001373291,0.0042177555,0.007645877,0.014634945,0.009281937
